country,year,countryCode,continent,stunt_rural,stunt_urban,waste_rural,waste_urban,stunt_all,waste_all,electricity,agLand,agLabor,foodExport,foodImport,gdpPPP,gdpPPPpercap,giniIndex,urbanPop,urbanPopGrowth,clusterPrecipAnom,nationalTempAnom,nationalPrecipAnom
Niger,1998,NER,Africa,0.474884127,0.36266793,0.234052968,0.1726059,0.441373064,0.215703063,6.7,28.42030473,78.21832,30.35311393,38.61639189,10721104120,987.6723292,NA,16.02,3.898988891,124.9634478,100.3598531,113.3101358
Niger,2006,NER,Africa,0.612258345,0.38201445,0.147366115,0.103237038,0.5667518,0.138644226,9.3,33.93779111,78.18704,34.0008692,27.84874875,13866994232,965.3207141,NA,16.238,3.589795927,NA,101.0157267,100.7536933
Niger,2012,NER,Africa,0.452480023,0.314360203,0.198597938,0.156366686,0.434972096,0.193244748,14.4,35.35328018,74.54763,16.06216226,31.71717067,19302877914,1075.105288,NA,16.212,3.785905865,121.5382229,100.1914272,126.7440519
Nigeria,1990,NGA,Africa,0.534511432,0.423617823,0.119515154,0.087296761,0.508366745,0.111919226,27.3,64.46633069,NA,NA,NA,3.10E+11,3259.581175,NA,29.68,5.492673052,98.40214815,100.1730054,94.82487574
Nigeria,2003,NGA,Africa,0.493030842,0.351436494,0.137181798,0.104695,0.445927964,0.126374716,52.2,72.41894221,46.8777,0.023576845,15.49647911,4.77E+11,3585.994603,40.1,37.356,4.988981123,103.1064168,100.8208802,121.2087511
Nigeria,2008,NGA,Africa,0.448869369,0.310251967,0.154567515,0.107966935,0.404223076,0.139558266,50.3,73.23034356,42.85565,1.288146478,9.778790493,6.70E+11,4396.800555,NA,41.702,4.859830828,105.7961102,99.24407471,107.4541205
Nigeria,2013,NGA,Africa,0.438560876,0.2725554,0.216678161,0.202513215,0.37820898,0.211528443,55.6,74.0494307,38.27072,5.051333247,17.82938979,9.15E+11,5238.832672,NA,46.118,4.606379879,87.51265112,101.0022025,84.9493947
Nigeria,2018,NGA,Africa,0.444724684,0.262376438,0.085470393,0.055619744,0.364117983,0.072274969,56.5,74.87290974,35.91854,1.982736756,10.9317926,1.01E+12,5089.777634,35.1,50.344,4.148946368,108.5131656,100.2121046,106.5522982
Pakistan,1990,PAK,Asia,0.540707225,0.444979186,0.152849217,0.098773941,0.503789167,0.131994782,NA,45.66988377,NA,9.321604607,17.35378521,3.50E+11,3034.113268,33.2,30.576,4.115170064,NA,99.94774911,121.883923
Pakistan,1991,PAK,Asia,0.540707225,0.444979186,0.152849217,0.098773941,0.503789167,0.131994782,NA,45.75290577,45.74823,10.36961525,12.15745616,3.68E+11,3086.349903,NA,30.826,4.044952363,NA,97.50961392,86.02452062
Pakistan,2012,PAK,Asia,0.497538292,0.395874607,0.133492067,0.110907895,0.467014827,0.126711405,88.56819916,46.78160025,42.86045,17.10753397,11.05996232,8.40E+11,4153.10639,NA,35.408,2.381463234,NA,97.66275736,85.12902836
Pakistan,2013,PAK,Asia,0.497538292,0.395874607,0.133492067,0.110907895,0.467014827,0.126711405,89.33152008,47.06309672,42.23656,19.95987864,10.20374491,8.76E+11,4268.359921,29.5,35.613,2.114193721,NA,100.6791446,111.6312475
Pakistan,2017,PAK,Asia,0.415887883,0.317898173,0.077982486,0.07333057,0.384518723,0.076493282,92.661026,48.00098589,39.84668,18.65807131,11.80993043,1.06E+12,4891.719774,NA,36.442,1.900540086,133.1367949,102.4304297,90.18635658
Pakistan,2018,PAK,Asia,0.415887883,0.317898173,0.077982486,0.07333057,0.384518723,0.076493282,93.39749146,47.93612495,37.41642,20.83980642,10.03770896,1.12E+12,5113.434292,29.6,36.666,2.149966084,88.99653718,104.1615652,61.65642142
Papua New Guinea,2016,PNG,Oceania,0.462578875,0.324068289,0.105077,0.116728537,0.447539066,0.106342152,13.5,2.932473612,20.47484,NA,NA,34924111919,3924.423946,NA,13.05,2.760287788,NA,101.890889,113.6530045
Papua New Guinea,2017,PNG,Oceania,0.462578875,0.324068289,0.105077,0.116728537,0.447539066,0.106342152,19.23093987,3.102504085,20.03649,NA,NA,36158543357,3967.016196,NA,13.102,2.791785699,NA,101.1955963,117.3781691
Papua New Guinea,2018,PNG,Oceania,0.462578875,0.324068289,0.105077,0.116728537,0.447539066,0.106342152,16.6,3.102504085,19.74101,NA,NA,36057569799,3865.011517,NA,13.169,2.835354562,NA,100.7180667,105.0380471
Paraguay,1990,PRY,Americas,0.259182128,0.133462234,0.006572641,0.008255903,0.205304483,0.007294008,NA,35.58915177,NA,52.38306805,8.021575352,35796536248,8818.629371,40.8,48.694,4.236078431,NA,98.55620636,106.9105803
Peru,1991,PER,Americas,0.582575736,0.299316314,0.026705607,0.018373587,0.410823402,0.021653546,NA,17.57830609,39.97092,NA,NA,1.18E+11,5244.144642,NA,69.3,2.69826575,NA,100.132804,81.70175596
Peru,1992,PER,Americas,0.582575736,0.299316314,0.026705607,0.018373587,0.410823402,0.021653546,70.1,17.62769883,40.21165,23.23850558,21.86676017,1.18E+11,5110.73742,NA,69.697,2.6061045,NA,100.8914807,84.27981458
Peru,1996,PER,Americas,0.513682991,0.243234982,0.025872393,0.012344702,0.351847704,0.017777463,67,17.69039063,37.83364,28.39316995,16.6146609,1.54E+11,6171.955202,NA,71.377,2.455569918,NA,98.80567399,96.60898452
Peru,2000,PER,Americas,0.515415958,0.20862093,0.016619367,0.008260309,0.348710957,0.012077257,72.496495,18.14945313,37.3744,19.19464046,11.6506244,1.70E+11,6375.616316,49.1,73.042,2.084718045,91.10702516,99.2090209,106.0508094
Peru,2005,PER,Americas,0.454633886,0.156534289,0.009651858,0.010081365,0.28230154,0.009900158,77.173645,18.744375,33.84402,17.01111599,11.44797695,2.10E+11,7443.931118,50.5,75.034,1.425302133,73.12937068,98.71218615,94.97156822
Peru,2005,PER,Americas,0.454633886,0.156534289,0.009651858,0.010081365,0.28230154,0.009900158,77.173645,18.744375,33.84402,17.01111599,11.44797695,2.10E+11,7443.931118,50.5,75.034,1.425302133,73.12937068,98.71218615,94.97156822
Peru,2007,PER,Americas,0.454633886,0.156534289,0.009651858,0.010081365,0.28230154,0.009900158,81.988131,18.99421875,29.20555,13.69345057,10.43535792,2.44E+11,8548.604027,50,75.803,1.274968853,84.01873056,98.11753949,105.3474281
